股票代码,股票名称,市场,流通股本,更新日期,上市日期,总股本,国有股,发起人法人股,法人股,B股,H股,职工股,总资产,流动资产,固定资产,无形资产,股东人数,流动负债,长期负债,资本公积金,净资产,主营收入,主营利润,应收账款,营业利润,投资收益,经营现金流,总现金流,存货,综合利润,税后利润,净利润,未分配利润,每股净资产
301656,联合动力,深市,166881699.21875,20250924,20250925,2404790937.5,12360000,2845977500.0,60553075000.0,0.0,0.0,2300.000041723251,195783580000.0,133078540000.0,34194915000.0,2244082031.25,168240,119907360000.0,0.0,14669995000.0,54481455000.0,91480580000.0,76174010000.0,47793730000.0,5670736250.0,325062988.28125,9575506875.0,-3829653750.0,35735627500.0,5665738125.0,5490126250.0,5490126250.0,17561062500.0,3.733999967575073
301658,首航新能,深市,41237099.609375,20250930,20250402,412371093.75,12380000,1305915000.0,14691757500.0,0.0,0.0,2300.000041723251,48310985000.0,38188822500.0,6678157500.0,861940000.0,22872,16921506250.0,0.0,9344230000.0,31247672500.0,11127722500.0,7759468125.0,13988212500.0,994962968.75,-66090000.0,-1173436015.625,947983984.375,7985546250.0,987617031.25,912250937.5,912250937.5,15925425000.0,7.578000068664551
301662,宏工科技,深市,16627800.29296875,20251016,20250417,80000000.0,12350000,0.0,0.0,0.0,0.0,8000.00011920929,43294335000.0,36849705000.0,4360053750.0,1030458984.375,13347,25876635000.0,0.0,4734205000.0,14665293750.0,7574468125.0,5492307500.0,13507681250.0,514655000.0,0.0,540623007.8125,-1356429062.5,12104977500.0,512424023.4375,535603984.375,535603984.375,8827496875.0,18.33200073242188
301665,泰禾股份,深市,38250000.0,20251016,20250411,450000000.0,12260000,1057807734.375,19593267500.0,0.0,0.0,4300.000071525574,62281050000.0,27440922500.0,18043161250.0,2135596093.75,16614,16599470000.0,5065948750.0,5184056875.0,34155797500.0,24128597500.0,17763411250.0,9699525000.0,3099361875.0,-6010999.755859375,1708145000.0,2530001875.0,6290810000.0,3059610000.0,2499435937.5,1821535937.5,21571927500.0,7.590000152587891
301668,昊创瑞通,深市,23048100.5859375,20250925,20250926,110000000.0,12380000,532045507.8125,4377947187.5,0.0,0.0,5600.000023841858,7448067500.0,6846157500.0,428073007.8125,99446005.859375,29538,2433625000.0,0.0,238662011.71875,4985695000.0,4507990000.0,3276493125.0,2192599062.5,710511015.625,1727000.122070312,383861015.625,-477049023.4375,1332399062.5,710800000.0,616098007.8125,616098007.8125,3479532812.5,9.225000381469727
301678,新恒汇,深市,45512797.8515625,20250819,20250620,239555507.8125,12390000,0.0,0.0,0.0,0.0,5000.0,21955465000.0,17292680000.0,4012373125.0,471235000.0,37328,1729517031.25,120087998.046875,10805330000.0,19907656250.0,4743735937.5,3309485000.0,3235955000.0,986287031.25,7430000.0,856663984.375,7884932500.0,1432517031.25,986166015.625,886767968.75,889544062.5,6050103125.0,8.3100004196167
302132,中航成飞,深市,586069492.1875,20251013,20100827,2672091250.0,12390000,28820452500.0,339338320000.0,0.0,0.0,3400.000035762787,1160520320000.0,926534320000.0,108911790000.0,31007735000.0,72365,859802720000.0,22793320000.0,115302160000.0,186688140000.0,207021280000.0,188589520000.0,163459450000.0,11226152500.0,141408994.140625,-76639230000.0,-94111610000.0,301125480000.0,11198888750.0,9195150625.0,9128240000.0,29526680000.0,6.973999977111816
600000,浦发银行,沪市,31828842500.0,20251014,19991110,31828842500.0,19660000,269880000000.0,882480000000.0,0.0,0.0,9900.000095367432,96457912320000.0,0.0,620950000000.0,91280000000.0,116109,0.0,83970000000.0,944700000000.0,7928550400000.0,905590000000.0,570610000000.0,0.0,334980000000.0,149980000000.0,212570000000.0,166050000000.0,0.0,331380000000.0,298940000000.0,297370000000.0,2340200000000.0,22.56999969482422
600004,白云机场,沪市,2366718281.25,20250821,20030428,2366718281.25,16560000,4377915000.0,34602715000.0,0.0,0.0,3199.999928474426,273421600000.0,72004550000.0,167539420000.0,1914375000.0,81878,61973505000.0,2588815937.5,98435050000.0,187340380000.0,37260462500.0,26510165000.0,11054988750.0,8207815000.0,774977031.25,17355975000.0,9915697500.0,1178620000.0,9778246250.0,7697715000.0,7500457500.0,54622580000.0,7.915999889373779
600006,东风股份,沪市,2000000000.0,20250830,19990727,2000000000.0,12360000,653882812.5,57975870000.0,0.0,0.0,500.0000074505806,169723760000.0,114028860000.0,14184822500.0,3105511875.0,131407,72691090000.0,2933620000.0,6179550000.0,83636050000.0,50309805000.0,48257280000.0,35758947500.0,933396015.625,2623140000.0,-5769732500.0,-13955537500.0,12687460000.0,919099062.5,978936015.625,972061015.625,47846745000.0,4.182000160217285
